num,name,category,block,block2,will,rank,pros,NP,CSR,M,C,T,i,,,
45,平安银行,金融,深市主板,主板,应规,A,稳定,"24,818.00 ",67.84 ,20.63 ,31.64 ,10.26 ,5.31 ,,,
46,青岛银行,金融,深市中小板,中小板,自愿,A,稳定,"2,043.00 ",67.44 ,19.69 ,31.46 ,10.66 ,5.63 ,,,
47,柳钢股份,金属,沪市主板,主板,自愿,A,稳定,"4,610.00 ",67.35 ,20.39 ,27.25 ,11.35 ,8.37 ,,,
48,中国铁建,建筑业,沪市主板,主板,应规,A,消极,"19,838.40 ",67.27 ,21.09 ,30.59 ,9.97 ,5.63 ,,,
49,中煤能源,采掘业,沪市主板,主板,应规,A,稳定,未披露,67.16 ,23.44 ,29.00 ,10.76 ,3.96 ,,,
50,苏宁易购,批发,深市中小板,中小板,应规,A,稳定,"13,328.00 ",67.15 ,23.20 ,26.02 ,12.93 ,5.00 ,,,
51,深圳燃气,电力,沪市主板,主板,应规,A,稳定,"1,030.93 ",67.14 ,20.39 ,29.36 ,11.35 ,6.04 ,,,
52,上海石化,石油,沪市主板,主板,应规,A,稳定,未披露,67.10 ,20.16 ,30.59 ,12.04 ,4.32 ,,,
53,青岛港,交通运输,沪市主板,主板,自愿,A,稳定,"3,593.00 ",66.85 ,21.09 ,30.76 ,10.46 ,4.53 ,,,
54,中国石化,采掘业,沪市主板,主板,应规,A,稳定,"63,090.00 ",66.81 ,20.39 ,30.94 ,11.94 ,3.54 ,,,
55,浦东建设,建筑业,沪市主板,主板,应规,A,消极,452.89 ,66.79 ,22.73 ,29.53 ,11.15 ,3.38 ,,,
56,光大银行,金融,沪市主板,主板,应规,A,消极,"33,721.00 ",66.69 ,22.03 ,27.95 ,12.34 ,4.38 ,,,
57,紫金矿业,采掘业,沪市主板,主板,应规,A,稳定,未披露,66.61 ,20.86 ,31.29 ,11.55 ,2.92 ,,,
58,中国人寿,金融,沪市主板,主板,应规,A,稳定,"11,390.00 ",66.58 ,21.56 ,30.59 ,9.28 ,5.16 ,,,
59,广汽集团,机械,沪市主板,主板,应规,A,稳定,"10,903.00 ",66.26 ,20.63 ,31.46 ,11.25 ,2.92 ,,,
60,郑州银行,金融,深市中小板,中小板,自愿,A,稳定,"3,101.00 ",66.15 ,18.75 ,31.64 ,10.76 ,5.00 ,,,
61,中远海能,交通运输,沪市主板,主板,应规,A,稳定,105.00 ,66.09 ,20.63 ,28.83 ,10.86 ,5.78 ,,,
62,现代制药,医药,沪市主板,主板,自愿,A,稳定,"1,069.98 ",66.04 ,20.86 ,30.94 ,10.76 ,3.48 ,,,
63,珠江实业,房地产业,沪市主板,主板,应规,A,消极,245.00 ,65.91 ,21.09 ,30.76 ,11.84 ,2.21 ,,,
64,光大证券,金融,沪市主板,主板,应规,A,积极,未披露,65.55 ,22.03 ,30.94 ,7.89 ,4.69 ,,,
65,浙江医药,医药,沪市主板,主板,自愿,A,稳定,364.55 ,65.26 ,19.45 ,31.99 ,10.07 ,3.75 ,,,
66,上汽集团,机械,沪市主板,主板,应规,A,稳定,"36,009.21 ",65.18 ,21.56 ,29.00 ,10.66 ,3.96 ,,,
67,中信银行,金融,沪市主板,主板,应规,A,消极,未披露,65.16 ,22.03 ,24.79 ,13.03 ,5.31 ,,,
68,海立股份,机械,沪市主板,主板,应规,A,稳定,311.00 ,65.11 ,21.56 ,30.41 ,9.18 ,3.96 ,,,
69,蓝思科技,信息技术业,深市创业板,创业板,应规,A,稳定,637.00 ,65.11 ,19.69 ,30.06 ,8.49 ,6.88 ,,,
70,深天马A,电子业,深市主板,主板,应规,A,稳定,925.54 ,65.03 ,19.92 ,28.83 ,12.53 ,3.75 ,,,
71,中国银行,金融,沪市主板,主板,应规,A,稳定,"192,435.00 ",64.79 ,21.09 ,26.54 ,11.84 ,5.31 ,,,
72,潍柴动力,机械,深市主板,主板,应规,A,稳定,"8,657.53 ",64.68 ,19.45 ,31.11 ,10.36 ,3.75 ,,,
73,兴业证券,金融,沪市主板,主板,自愿,A,积极,"1,044.00 ",64.64 ,19.69 ,30.76 ,8.88 ,5.31 ,,,
74,泰豪科技,机械,沪市主板,主板,自愿,A,稳定,未披露,64.63 ,20.39 ,30.06 ,11.05 ,3.13 ,,,
75,奇正藏药,医药,深市中小板,中小板,自愿,A,稳定,319.00 ,64.62 ,19.45 ,30.41 ,11.55 ,3.21 ,,,
76,恒生电子,信息技术业,沪市主板,主板,自愿,A,稳定,未披露,64.60 ,20.16 ,28.13 ,10.07 ,6.25 ,,,
77,华润三九,医药,深市主板,主板,自愿,A,积极,"1,432.08 ",64.52 ,20.86 ,29.36 ,11.45 ,2.86 ,,,
78,五粮液,食品,深市主板,主板,应规,A,积极,未披露,64.38 ,20.86 ,30.59 ,11.15 ,1.79 ,,,
79,陆家嘴,房地产业,沪市主板,主板,应规,A,稳定,未披露,64.32 ,20.16 ,31.29 ,10.95 ,1.92 ,,,
80,比亚迪,机械,深市中小板,中小板,应规,A,稳定,未披露,64.20 ,19.92 ,28.65 ,11.25 ,4.38 ,,,
81,中远海发,交通运输,沪市主板,主板,应规,A,积极,未披露,64.16 ,21.80 ,26.89 ,11.25 ,4.22 ,,,
82,上海电力,电力,沪市主板,主板,应规,A,稳定,未披露,64.04 ,21.80 ,23.91 ,11.25 ,7.08 ,,,
83,华泰证券,金融,沪市主板,主板,应规,A,积极,"5,033.00 ",63.96 ,18.52 ,30.94 ,8.88 ,5.63 ,,,
84,赣锋锂业,金属,深市中小板,中小板,应规,A,积极,未披露,63.96 ,19.92 ,28.65 ,11.25 ,4.13 ,,,
85,金风科技,机械,深市中小板,中小板,应规,A,稳定,"3,217.00 ",63.84 ,21.56 ,26.02 ,12.93 ,3.33 ,,,
86,上海电气,机械,沪市主板,主板,应规,A,稳定,"3,016.53 ",63.83 ,20.39 ,30.06 ,10.46 ,2.92 ,,,
87,中船防务,机械,沪市主板,主板,应规,A,稳定,"-1,869.00 ",63.77 ,20.16 ,30.06 ,11.05 ,2.50 ,,,
88,新华保险,金融,沪市主板,主板,应规,A,积极,"7,922.00 ",63.49 ,19.92 ,29.53 ,8.88 ,5.16 ,,,
89,招商证券,金融,沪市主板,主板,应规,A,稳定,未披露,63.35 ,17.81 ,28.83 ,10.46 ,6.25 ,,,
90,中国银河,金融,沪市主板,主板,应规,A,消极,未披露,63.09 ,17.11 ,27.07 ,13.91 ,5.00 ,,,
91,温氏股份,农,深市创业板,创业板,应规,A,稳定,未披露,63.09 ,18.75 ,27.60 ,11.74 ,5.00 ,,,
92,牧原股份,农,深市中小板,中小板,应规,A,稳定,528.08 ,63.04 ,18.05 ,29.36 ,10.95 ,4.69 ,,,
93,中国电影,传播与文化业,沪市主板,主板,应规,A-,积极,"1,495.00 ",62.80 ,18.98 ,26.54 ,9.77 ,7.50 ,,,
94,利民股份,石油,深市中小板,中小板,自愿,A-,稳定,206.00 ,62.80 ,20.16 ,27.60 ,9.47 ,5.57 ,,,
95,顺丰控股,交通运输,深市中小板,中小板,应规,A-,积极,"4,556.00 ",62.57 ,20.63 ,27.77 ,10.26 ,3.91 ,,,
96,招商港口,交通运输,深市主板,主板,自愿,A-,稳定,"1,090.00 ",62.48 ,20.16 ,27.42 ,9.28 ,5.63 ,,,
97,九州通,批发,沪市主板,主板,自愿,A-,稳定,"1,381.00 ",62.38 ,22.27 ,25.31 ,11.05 ,3.75 ,,,
98,宝钢股份,金属,沪市主板,主板,应规,A-,稳定,"14,271.00 ",62.38 ,18.52 ,29.00 ,9.47 ,5.38 ,,,
99,上海医药,批发,沪市主板,主板,应规,A-,稳定,"3,881.00 ",62.25 ,19.92 ,28.30 ,10.46 ,3.57 ,,,
100,中国化学,建筑业,沪市主板,主板,应规,A-,稳定,"1,932.00 ",62.22 ,20.86 ,27.42 ,10.56 ,3.38 ,,,
101,北化股份,石油,深市中小板,中小板,自愿,A-,积极,123.68 ,62.17 ,19.69 ,29.88 ,9.87 ,2.73 ,,,
102,宁沪高速,交通运输,沪市主板,主板,应规,A-,积极,未披露,62.16 ,20.63 ,27.77 ,10.95 ,2.81 ,,,
103,中国核电,电力,沪市主板,主板,应规,A-,稳定,未披露,62.10 ,19.92 ,26.37 ,11.64 ,4.17 ,,,
104,首创股份,电力,沪市主板,主板,应规,A-,积极,719.00 ,62.07 ,18.98 ,27.25 ,11.05 ,4.79 ,,,
105,北方华创,机械,深市中小板,中小板,自愿,A-,稳定,234.00 ,62.00 ,20.86 ,26.72 ,10.46 ,3.96 ,,,
106,华润双鹤,医药,沪市主板,主板,应规,A-,消极,969.00 ,61.70 ,22.03 ,26.89 ,9.47 ,3.30 ,,,
107,华大基因,社会服务业,深市创业板,创业板,应规,A-,稳定,未披露,61.50 ,20.63 ,25.66 ,11.15 ,4.06 ,,,
108,外高桥,批发,沪市主板,主板,自愿,A-,稳定,830.00 ,61.40 ,20.16 ,26.89 ,10.95 ,3.39 ,,,
109,国电南瑞,信息技术业,沪市主板,主板,应规,A-,积极,"4,162.00 ",61.39 ,20.63 ,25.66 ,9.47 ,5.63 ,,,
110,中海油服,采掘业,沪市主板,主板,应规,A-,积极,未披露,61.29 ,21.56 ,28.13 ,10.56 ,1.04 ,,,
111,格林美,其他制造业,深市中小板,中小板,应规,A-,稳定,730.31 ,61.26 ,15.47 ,30.66 ,15.13 ,-,,,
112,三元股份,食品,沪市主板,主板,自愿,A-,积极,未披露,61.18 ,20.16 ,28.48 ,10.76 ,1.79 ,,,
113,海航控股,交通运输,沪市主板,主板,自愿,A-,稳定,"-3,648.00 ",61.17 ,18.05 ,26.89 ,11.55 ,4.69 ,,,
114,东风汽车,机械,沪市主板,主板,应规,BBB+,消极,未披露,60.57 ,20.39 ,26.19 ,8.78 ,5.21 ,,,
115,广汇能源,综合类,沪市主板,主板,应规,BBB+,消极,"1,743.81 ",60.55 ,20.63 ,25.59 ,14.34 ,-,,,
116,隆基股份,金属,沪市主板,主板,自愿,BBB+,积极,"2,558.00 ",60.51 ,19.22 ,25.66 ,13.22 ,2.40 ,,,
117,本钢板材,机械,深市主板,主板,自愿,BBB+,稳定,"1,036.49 ",60.30 ,20.16 ,28.65 ,8.78 ,2.71 ,,,
118,国金证券,金融,沪市主板,主板,应规,BBB+,积极,"1,023.00 ",60.23 ,15.47 ,30.06 ,9.08 ,5.63 ,,,
119,民生银行,金融,沪市主板,主板,应规,BBB+,稳定,"50,327.00 ",60.17 ,18.28 ,25.84 ,10.26 ,5.78 ,,,
120,浦东金桥,房地产业,沪市主板,主板,自愿,BBB+,消极,977.00 ,60.07 ,21.09 ,27.07 ,10.66 ,1.25 ,,,
121,明阳智能,机械,沪市主板,主板,自愿,BBB+,稳定,425.97 ,60.02 ,19.69 ,25.49 ,12.14 ,2.71 ,,,
122,文山电力,电力,沪市主板,主板,应规,BBB+,稳定,未披露,59.89 ,18.98 ,25.14 ,10.56 ,5.21 ,,,
123,中国铝业,金属,沪市主板,主板,应规,BBB+,稳定,未披露,59.86 ,18.75 ,24.96 ,11.25 ,4.90 ,,,
124,鞍钢股份,金属,深市主板,主板,自愿,BBB+,稳定,未披露,59.86 ,15.70 ,31.82 ,8.78 ,3.56 ,,,
125,兴蓉环境,电力,深市主板,主板,自愿,BBB+,稳定,988.00 ,59.81 ,17.34 ,27.95 ,10.56 ,3.96 ,,,
126,金隅集团,金属,沪市主板,主板,应规,BBB+,稳定,"3,260.00 ",59.63 ,18.75 ,28.13 ,9.97 ,2.79 ,,,
127,云南能投,食品,深市中小板,中小板,自愿,BBB+,稳定,115.91 ,59.59 ,20.16 ,27.25 ,10.76 ,1.43 ,,,
128,天津港,交通运输,沪市主板,主板,应规,BBB+,稳定,600.00 ,59.58 ,19.69 ,25.14 ,10.07 ,4.69 ,,,
129,国机汽车,批发,沪市主板,主板,应规,BBB+,稳定,595.00 ,59.43 ,21.80 ,22.68 ,11.74 ,3.21 ,,,
130,华友钴业,金属,沪市主板,主板,自愿,BBB,消极,未披露,58.97 ,18.52 ,27.77 ,10.86 ,1.83 ,,,
131,云天化,石油,沪市主板,主板,自愿,BBB,稳定,未披露,58.96 ,18.75 ,26.37 ,9.87 ,3.98 ,,,
132,秦港股份,交通运输,沪市主板,主板,自愿,BBB,稳定,未披露,58.79 ,18.75 ,25.49 ,10.95 ,3.59 ,,,
133,东阿阿胶,医药,深市主板,主板,应规,BBB,消极,"2,085.00 ",58.78 ,17.81 ,28.30 ,10.16 ,2.50 ,,,
134,药明康德,社会服务业,沪市主板,主板,自愿,BBB,稳定,未披露,58.76 ,19.45 ,25.84 ,10.66 ,2.81 ,,,
135,中化国际,石油,沪市主板,主板,应规,BBB,积极,910.00 ,58.71 ,19.22 ,24.79 ,10.95 ,3.75 ,,,
136,荣盛发展,房地产业,深市中小板,中小板,应规,BBB,消极,"7,560.00 ",58.70 ,18.52 ,26.54 ,10.86 ,2.79 ,,,
137,美的集团,机械,深市主板,主板,应规,BBB,稳定,"20,231.00 ",58.59 ,19.69 ,26.54 ,10.07 ,2.29 ,,,
138,龙蟒佰利,石油,深市中小板,中小板,自愿,BBB,稳定,"2,286.00 ",58.53 ,20.39 ,27.25 ,9.08 ,1.82 ,,,
139,科顺股份,机械,深市创业板,创业板,自愿,BBB,稳定,185.00 ,58.39 ,18.52 ,26.54 ,9.38 ,3.96 ,,,
140,迪马股份,房地产业,沪市主板,主板,自愿,BBB,稳定,"1,016.65 ",58.34 ,20.16 ,26.02 ,9.67 ,2.50 ,,,
141,长江电力,电力,沪市主板,主板,应规,BBB,稳定,未披露,58.33 ,18.28 ,25.14 ,10.95 ,3.96 ,,,
142,中国外运,交通运输,沪市主板,主板,应规,BBB,稳定,"3,199.00 ",58.27 ,20.63 ,25.31 ,8.59 ,3.75 ,,,
143,山推股份,机械,深市主板,主板,自愿,BBB,稳定,未披露,58.22 ,21.33 ,25.31 ,9.08 ,2.50 ,,,
144,陕西煤业,采掘业,沪市主板,主板,自愿,BBB,稳定,"11,000.00 ",58.11 ,19.69 ,23.73 ,11.15 ,3.54 ,,,
145,张江高科,综合类,沪市主板,主板,应规,BBB,稳定,544.29 ,58.04 ,18.52 ,26.37 ,13.16 ,-,,,
146,神马股份,石油,沪市主板,主板,自愿,BBB,稳定,未披露,57.93 ,17.81 ,26.02 ,11.15 ,2.95 ,,,
147,宁波银行,金融,深市中小板,中小板,应规,BBB,稳定,"11,186.00 ",57.80 ,20.16 ,23.03 ,7.89 ,6.72 ,,,
148,巨化股份,石油,沪市主板,主板,自愿,BBB,稳定,"2,152.56 ",57.77 ,19.92 ,25.31 ,10.26 ,2.27 ,,,
149,广发证券,金融,深市主板,主板,应规,BBB,稳定,"4,300.00 ",57.57 ,17.81 ,25.31 ,10.07 ,4.38 ,,,
150,中国重工,机械,沪市主板,主板,应规,BBB,稳定,673.00 ,57.44 ,20.63 ,23.38 ,11.35 ,2.08 ,,,
151,深粮控股,批发,深市主板,主板,自愿,BBB,稳定,未披露,57.28 ,18.75 ,25.31 ,10.36 ,2.86 ,,,
152,佛燃股份,电力,深市中小板,中小板,自愿,BBB,稳定,未披露,57.25 ,18.75 ,26.02 ,9.57 ,2.92 ,,,
153,财通证券,金融,沪市主板,主板,自愿,BBB,稳定,362.06 ,57.20 ,15.47 ,26.02 ,8.68 ,7.03 ,,,
154,瀚蓝环境,电力,沪市主板,主板,应规,BBB,稳定,819.00 ,57.16 ,16.88 ,24.08 ,10.16 ,6.04 ,,,
155,迈克生物,医药,深市创业板,创业板,自愿,BBB,稳定,875.51 ,57.13 ,18.05 ,27.25 ,9.87 ,1.96 ,,,
156,柳工,机械,深市主板,主板,自愿,BBB,稳定,482.92 ,56.93 ,20.16 ,25.14 ,9.97 ,1.67 ,,,
157,北辰实业,房地产业,沪市主板,主板,应规,BBB,稳定,未披露,56.92 ,16.17 ,27.60 ,10.46 ,2.69 ,,,
158,青岛啤酒,食品,沪市主板,主板,应规,BBB,稳定,"1,993.14 ",56.85 ,18.75 ,24.96 ,10.46 ,2.68 ,,,
159,山东黄金,金属,沪市主板,主板,应规,BBB,稳定,"1,422.00 ",56.85 ,17.81 ,23.55 ,11.25 ,4.23 ,,,
160,云南铜业,金属,深市主板,主板,自愿,BBB,消极,未披露,56.77 ,17.34 ,27.77 ,8.39 ,3.27 ,,,
161,粤电力A,电力,深市主板,主板,自愿,BBB,稳定,401.75 ,56.66 ,18.98 ,24.26 ,9.67 ,3.75 ,,,
162,远望谷,电子业,深市中小板,中小板,自愿,BBB,稳定,474.00 ,56.53 ,19.22 ,27.60 ,8.88 ,0.83 ,,,
163,东方明珠,信息技术业,沪市主板,主板,自愿,BBB,积极,-179.03 ,56.33 ,17.11 ,26.72 ,7.50 ,5.00 ,,,
164,大唐发电,电力,沪市主板,主板,应规,BBB,稳定,"2,015.00 ",56.32 ,17.58 ,25.31 ,11.35 ,2.08 ,,,
165,美年健康,社会服务业,深市中小板,中小板,应规,BBB,积极,"2,790.00 ",56.19 ,20.39 ,21.45 ,11.55 ,2.81 ,,,
166,海螺水泥,金属,沪市主板,主板,应规,BBB,稳定,820.65 ,56.14 ,11.48 ,31.11 ,10.46 ,3.08 ,,,
167,广汇汽车,批发,沪市主板,主板,应规,BBB,稳定,未披露,56.04 ,22.50 ,22.15 ,9.97 ,1.43 ,,,
168,爱尔眼科,社会服务业,深市创业板,创业板,应规,BBB,稳定,未披露,56.04 ,20.39 ,21.62 ,9.97 ,4.06 ,,,
169,隧道股份,建筑业,沪市主板,主板,自愿,BBB,稳定,"1,079.14 ",56.00 ,20.16 ,23.03 ,10.07 ,2.75 ,,,
170,华东医药,医药,深市主板,主板,应规,BBB,稳定,"1,979.00 ",55.55 ,17.81 ,25.14 ,10.46 ,2.14 ,,,
171,华孚时尚,纺织,深市中小板,中小板,自愿,BBB,稳定,"2,267.00 ",55.53 ,17.11 ,26.89 ,8.49 ,3.04 ,,,
172,华域汽车,机械,沪市主板,主板,应规,BBB,稳定,752.00 ,55.50 ,18.52 ,24.61 ,9.67 ,2.71 ,,,
173,光明乳业,食品,沪市主板,主板,应规,BBB,稳定,"8,027.18 ",55.46 ,17.11 ,25.14 ,11.25 ,1.96 ,,,
174,中国宝安,综合类,深市主板,主板,自愿,BBB,稳定,527.00 ,55.45 ,16.64 ,25.78 ,13.03 ,-,,,
175,小商品城,社会服务业,沪市主板,主板,自愿,BBB,稳定,214.00 ,55.34 ,19.45 ,21.97 ,10.16 ,3.75 ,,,
176,苏美达,批发,沪市主板,主板,自愿,BBB,稳定,"1,041.77 ",55.33 ,21.33 ,21.62 ,10.95 ,1.43 ,,,
177,中储股份,交通运输,沪市主板,主板,应规,BBB,稳定,未披露,55.33 ,18.28 ,23.73 ,8.78 ,4.53 ,,,
178,国电电力,电力,沪市主板,主板,应规,BBB,稳定,459.00 ,55.31 ,18.05 ,23.91 ,8.98 ,4.38 ,,,
179,南钢股份,金属,沪市主板,主板,应规,BBB,稳定,"1,369.00 ",55.29 ,16.64 ,25.14 ,9.67 ,3.85 ,,,
180,迈瑞医疗,机械,深市创业板,创业板,应规,BBB,稳定,"4,008.00 ",55.13 ,19.92 ,22.15 ,10.56 ,2.50 ,,,
181,南京熊猫,信息技术业,沪市主板,主板,自愿,BBB,稳定,"3,719.00 ",55.10 ,16.41 ,26.19 ,7.50 ,5.00 ,,,
182,洋河股份,食品,深市中小板,中小板,应规,BBB,积极,未披露,55.03 ,18.98 ,23.91 ,11.25 ,0.89 ,,,
183,保利地产,房地产业,沪市主板,主板,应规,BBB,稳定,"8,115.00 ",54.94 ,18.52 ,22.50 ,10.36 ,3.56 ,,,
184,柳药股份,批发,沪市主板,主板,自愿,BBB,稳定,"18,900.00 ",54.81 ,19.45 ,24.43 ,8.78 ,2.14 ,,,
185,东方雨虹,金属,深市中小板,中小板,应规,BBB,稳定,528.19 ,54.81 ,15.00 ,28.30 ,9.97 ,1.54 ,,,
186,新集能源,采掘业,沪市主板,主板,自愿,BBB,稳定,未披露,54.79 ,18.28 ,22.68 ,9.67 ,4.17 ,,,
187,杭齿前进,机械,沪市主板,主板,自愿,BBB,稳定,261.00 ,54.74 ,15.94 ,26.37 ,10.56 ,1.88 ,,,
188,正泰电器,机械,沪市主板,主板,应规,BBB,稳定,未披露,54.73 ,18.98 ,23.91 ,9.97 ,1.88 ,,,
189,锦江股份,社会服务业,沪市主板,主板,自愿,BBB,稳定,"3,592.00 ",54.67 ,19.22 ,22.15 ,9.87 ,3.44 ,,,
190,科伦药业,医药,深市中小板,中小板,应规,BBB,稳定,"1,082.00 ",54.66 ,16.88 ,26.02 ,9.18 ,2.59 ,,,
191,天健集团,建筑业,深市主板,主板,自愿,BBB,消极,未披露,54.64 ,19.69 ,23.73 ,9.97 ,1.25 ,,,
192,华电国际,电力,沪市主板,主板,应规,BBB,稳定,781.58 ,54.52 ,17.81 ,24.08 ,10.95 ,1.67 ,,,
193,安徽合力,机械,沪市主板,主板,应规,BBB,稳定,未披露,54.48 ,19.69 ,23.55 ,9.57 ,1.67 ,,,
194,申通快递,交通运输,深市中小板,中小板,自愿,BBB,积极,583.00 ,54.47 ,18.28 ,21.62 ,11.45 ,3.13 ,,,
195,江中药业,医药,沪市主板,主板,应规,BBB,消极,"2,052.00 ",54.46 ,16.41 ,25.49 ,10.07 ,2.50 ,,,
196,京能电力,电力,沪市主板,主板,自愿,BBB,积极,470.00 ,54.43 ,16.64 ,24.08 ,10.16 ,3.54 ,,,
197,华侨城A,房地产业,深市主板,主板,应规,BBB,稳定,未披露,54.42 ,18.28 ,25.31 ,9.77 ,1.06 ,,,
