num,name,category,block,block2,will,rank,pros,NP,CSR,M,C,T,i,,,
198,来伊份,批发,沪市主板,主板,自愿,BBB,稳定,"10,600.00 ",54.39 ,20.16 ,22.85 ,8.88 ,2.50 ,,,
199,长飞光纤,电子业,沪市主板,主板,自愿,BBB,稳定,未披露,54.38 ,19.22 ,24.26 ,10.07 ,0.83 ,,,
200,新世界,批发,沪市主板,主板,自愿,BBB,稳定,未披露,54.32 ,19.22 ,22.15 ,11.35 ,1.61 ,,,
201,长沙银行,金融,沪市主板,主板,自愿,BBB,稳定,未披露,54.24 ,17.58 ,24.61 ,7.99 ,4.06 ,,,
202,长安汽车,机械,深市主板,主板,应规,BBB,稳定,"4,460,878.00 ",54.19 ,19.92 ,21.80 ,9.97 ,2.50 ,,,
203,物产中大,批发,沪市主板,主板,应规,BBB,稳定,681.00 ,54.11 ,18.28 ,24.26 ,9.97 ,1.61 ,,,
204,百隆东方,纺织,沪市主板,主板,自愿,BBB,稳定,未披露,54.05 ,18.98 ,24.43 ,8.49 ,2.14 ,,,
205,中国动力,机械,沪市主板,主板,自愿,BBB,积极,438.00 ,53.95 ,19.22 ,22.85 ,11.25 ,0.63 ,,,
206,海正药业,医药,沪市主板,主板,自愿,BBB,积极,"1,348.00 ",53.89 ,18.05 ,24.79 ,9.28 ,1.79 ,,,
207,景兴纸业,造纸,深市中小板,中小板,自愿,BBB,稳定,未披露,53.87 ,16.88 ,25.31 ,9.18 ,2.50 ,,,
208,东软集团,信息技术业,沪市主板,主板,应规,BBB,稳定,未披露,53.81 ,17.58 ,22.15 ,7.20 ,6.88 ,,,
209,圆通速递,交通运输,沪市主板,主板,应规,BBB,积极,未披露,53.71 ,18.28 ,22.68 ,9.47 ,3.28 ,,,
210,中国中车,机械,沪市主板,主板,应规,BBB,稳定,"1,904.00 ",53.70 ,15.47 ,24.61 ,11.74 ,1.88 ,,,
211,上海银行,金融,沪市主板,主板,应规,BBB,消极,未披露,53.70 ,16.64 ,23.91 ,7.99 ,5.16 ,,,
212,黔源电力,电力,深市中小板,中小板,自愿,BBB,稳定,"18,034.00 ",53.65 ,20.16 ,20.57 ,9.18 ,3.75 ,,,
213,华东电脑,信息技术业,沪市主板,主板,应规,BBB,稳定,367.79 ,53.53 ,17.34 ,23.55 ,7.01 ,5.63 ,,,
214,西安银行,金融,沪市主板,主板,自愿,BBB,稳定,未披露,53.52 ,19.45 ,21.09 ,8.29 ,4.69 ,,,
215,上海家化,石油,沪市主板,主板,自愿,BBB,稳定,"2,361.57 ",53.51 ,17.34 ,25.66 ,10.16 ,0.34 ,,,
216,重药控股,批发,深市主板,主板,自愿,BBB,稳定,540.00 ,53.37 ,20.16 ,21.45 ,10.16 ,1.61 ,,,
217,中铝国际,建筑业,沪市主板,主板,自愿,BBB,稳定,691.00 ,53.36 ,13.13 ,25.49 ,9.38 ,5.38 ,,,
218,重庆水务,电力,沪市主板,主板,自愿,BBB,稳定,未披露,53.26 ,17.58 ,24.79 ,10.07 ,0.83 ,,,
219,新希望,食品,深市主板,主板,应规,BBB,稳定,"1,422.00 ",53.24 ,17.58 ,23.20 ,10.86 ,1.61 ,,,
220,强生控股,交通运输,沪市主板,主板,自愿,BBB,积极,未披露,53.20 ,18.98 ,23.03 ,8.68 ,2.50 ,,,
221,贵州燃气,电力,沪市主板,主板,自愿,BBB,稳定,64.74 ,53.12 ,18.52 ,20.39 ,10.46 ,3.75 ,,,
222,美凯龙,社会服务业,沪市主板,主板,应规,BBB,积极,未披露,53.12 ,14.53 ,25.31 ,10.46 ,2.81 ,,,
223,顺鑫农业,食品,深市主板,主板,应规,BBB,稳定,"4,960.00 ",53.10 ,19.45 ,23.55 ,8.49 ,1.61 ,,,
224,双汇发展,食品,深市主板,主板,应规,BBB,积极,728.09 ,53.02 ,15.23 ,25.14 ,9.97 ,2.68 ,,,
225,天风证券,金融,沪市主板,主板,自愿,BBB,稳定,未披露,53.02 ,17.58 ,22.15 ,8.29 ,5.00 ,,,
226,冀中能源,采掘业,深市主板,主板,自愿,BBB,稳定,未披露,52.94 ,18.05 ,23.55 ,9.67 ,1.67 ,,,
227,青岛海尔,机械,沪市主板,主板,应规,BBB,稳定,"1,049.00 ",52.91 ,16.88 ,24.08 ,9.87 ,2.08 ,,,
228,三六零,信息技术业,沪市主板,主板,自愿,BBB,稳定,"7,440.00 ",52.80 ,16.88 ,22.50 ,5.92 ,7.50 ,,,
229,陕国投A,金融,深市主板,主板,自愿,BBB,稳定,未披露,52.55 ,17.58 ,23.55 ,8.29 ,3.13 ,,,
230,锡业股份,金属,深市主板,主板,自愿,BBB,稳定,319.47 ,52.55 ,19.22 ,21.45 ,9.67 ,2.21 ,,,
231,氯碱化工,石油,沪市主板,主板,自愿,BBB,稳定,881.00 ,52.46 ,18.28 ,24.96 ,8.19 ,1.02 ,,,
232,万东医疗,机械,沪市主板,主板,自愿,BBB,稳定,未披露,52.37 ,15.00 ,25.49 ,9.18 ,2.71 ,,,
233,铁汉生态,社会服务业,深市创业板,创业板,自愿,BBB,消极,153.00 ,52.07 ,21.33 ,19.16 ,9.08 ,2.50 ,,,
234,华夏幸福,房地产业,沪市主板,主板,应规,BBB,稳定,304.29 ,51.84 ,18.52 ,22.50 ,9.67 ,1.15 ,,,
235,航发动力,机械,沪市主板,主板,自愿,BBB,稳定,未披露,51.81 ,16.17 ,25.49 ,8.49 ,1.67 ,,,
236,华峰氨纶,石油,深市中小板,中小板,自愿,BBB,稳定,未披露,51.81 ,15.70 ,23.38 ,9.77 ,2.95 ,,,
237,西部证券,金融,深市中小板,中小板,应规,BBB,积极,445.22 ,51.73 ,15.00 ,22.32 ,8.78 ,5.63 ,,,
238,华能水电,电力,沪市主板,主板,自愿,BBB,积极,"66,620.00 ",51.71 ,19.69 ,20.57 ,9.38 ,2.08 ,,,
239,葛洲坝,建筑业,沪市主板,主板,应规,BBB,消极,未披露,51.69 ,19.22 ,21.62 ,9.47 ,1.38 ,,,
240,东方盛虹,纺织,深市主板,主板,自愿,BBB,稳定,未披露,51.62 ,17.81 ,23.03 ,9.18 ,1.61 ,,,
241,三七互娱,信息技术业,深市中小板,中小板,自愿,BBB,积极,847.00 ,51.58 ,17.81 ,21.80 ,7.60 ,4.38 ,,,
242,江铃汽车,机械,深市主板,主板,自愿,BBB,稳定,474.91 ,51.56 ,15.70 ,24.08 ,9.28 ,2.50 ,,,
243,攀钢钒钛,金属,深市主板,主板,自愿,BBB,消极,91.83 ,51.49 ,18.28 ,22.68 ,9.38 ,1.15 ,,,
244,东方电气,机械,沪市主板,主板,应规,BBB,积极,"3,090.00 ",51.48 ,16.88 ,24.26 ,8.68 ,1.67 ,,,
245,利亚德,电子业,深市创业板,创业板,自愿,BBB,稳定,"1,129.00 ",51.48 ,19.69 ,18.63 ,10.66 ,2.50 ,,,
246,东华科技,建筑业,深市中小板,中小板,自愿,BBB,稳定,"1,264.00 ",51.43 ,20.16 ,23.03 ,7.99 ,0.25 ,,,
247,东尼电子,电子业,沪市主板,主板,自愿,BBB,稳定,149.16 ,51.40 ,15.94 ,24.96 ,9.67 ,0.83 ,,,
248,中国天楹,社会服务业,深市主板,主板,自愿,BBB,稳定,115.39 ,51.37 ,17.58 ,22.85 ,9.38 ,1.56 ,,,
249,中工国际,建筑业,深市中小板,中小板,自愿,BBB,稳定,223.00 ,51.30 ,18.75 ,21.27 ,9.28 ,2.00 ,,,
250,马应龙,批发,沪市主板,主板,应规,BBB,稳定,"1,200.35 ",51.27 ,19.45 ,19.51 ,10.16 ,2.14 ,,,
251,国元证券,金融,深市主板,主板,应规,BBB,稳定,未披露,51.10 ,15.47 ,23.55 ,8.49 ,3.59 ,,,
252,华数传媒,传播与文化业,深市主板,主板,自愿,BBB,积极,670.00 ,51.09 ,16.64 ,22.15 ,7.30 ,5.00 ,,,
253,金卡智能,信息技术业,深市创业板,创业板,自愿,BBB,积极,644.00 ,51.00 ,18.28 ,21.80 ,5.92 ,5.00 ,,,
254,青山纸业,造纸,沪市主板,主板,自愿,BBB,积极,未披露,50.89 ,17.34 ,24.96 ,8.59 ,0.00 ,,,
255,泛海控股,房地产业,深市主板,主板,自愿,BBB,稳定,155.00 ,50.88 ,18.28 ,21.09 ,9.87 ,1.63 ,,,
256,杭州银行,金融,沪市主板,主板,自愿,BBB,积极,931.00 ,50.87 ,15.00 ,23.20 ,8.29 ,4.38 ,,,
257,洛阳钼业,采掘业,沪市主板,主板,应规,BBB,积极,"5,412.00 ",50.84 ,17.34 ,22.50 ,10.16 ,0.83 ,,,
258,马钢股份,金属,沪市主板,主板,应规,BBB,稳定,未披露,50.84 ,11.95 ,24.43 ,8.49 ,5.96 ,,,
259,华新水泥,金属,沪市主板,主板,自愿,BBB,稳定,未披露,50.80 ,17.11 ,22.68 ,9.47 ,1.54 ,,,
260,广深铁路,交通运输,沪市主板,主板,应规,BBB,稳定,"5,181.00 ",50.79 ,15.47 ,22.68 ,8.59 ,4.06 ,,,
261,皖维高新,石油,沪市主板,主板,应规,BBB,稳定,未披露,50.73 ,19.45 ,21.45 ,8.59 ,1.25 ,,,
262,乐山电力,电力,沪市主板,主板,自愿,BBB,稳定,130.10 ,50.52 ,20.39 ,18.28 ,7.89 ,3.96 ,,,
263,上海临港,房地产业,沪市主板,主板,自愿,BBB,稳定,未披露,50.50 ,19.92 ,20.74 ,8.68 ,1.15 ,,,
264,上海贝岭,电子业,沪市主板,主板,应规,BBB,稳定,未披露,50.43 ,19.45 ,21.45 ,8.49 ,1.04 ,,,
265,康美药业,医药,沪市主板,主板,应规,BBB,消极,81.90 ,50.36 ,14.30 ,24.79 ,9.67 ,1.61 ,,,
266,新华制药,医药,深市主板,主板,自愿,BBB,稳定,未披露,50.23 ,15.23 ,23.38 ,8.49 ,3.13 ,,,
267,陕鼓动力,机械,沪市主板,主板,应规,BBB,稳定,未披露,50.21 ,15.47 ,24.79 ,8.29 ,1.67 ,,,
268,亚士创能,石油,沪市主板,主板,自愿,BBB,稳定,374.30 ,50.17 ,15.94 ,23.38 ,9.38 ,1.48 ,,,
269,中远海特,交通运输,沪市主板,主板,应规,BBB,稳定,未披露,50.13 ,19.45 ,19.34 ,8.68 ,2.66 ,,,
270,东北证券,金融,深市主板,主板,自愿,BBB,积极,未披露,50.11 ,14.53 ,22.85 ,7.11 ,5.63 ,,,
271,中信证券,金融,沪市主板,主板,应规,BBB,积极,未披露,50.10 ,15.94 ,22.85 ,6.32 ,5.00 ,,,
272,国泰君安,金融,沪市主板,主板,应规,BBB,稳定,未披露,50.00 ,14.53 ,23.20 ,7.89 ,4.38 ,,,
273,驰宏锌锗,采掘业,沪市主板,主板,应规,BBB-,积极,"6,708.00 ",49.97 ,17.58 ,21.09 ,10.46 ,0.83 ,,,
274,博腾股份,医药,深市创业板,创业板,自愿,BBB-,稳定,623.00 ,49.95 ,18.05 ,21.62 ,9.57 ,0.71 ,,,
275,亚宝药业,医药,沪市主板,主板,应规,BBB-,积极,124.49 ,49.93 ,17.58 ,21.80 ,8.68 ,1.88 ,,,
276,彤程新材,石油,沪市主板,主板,自愿,BBB-,稳定,273.00 ,49.86 ,15.94 ,21.27 ,9.47 ,3.18 ,,,
277,中原证券,金融,沪市主板,主板,应规,BBB-,积极,未披露,49.75 ,17.34 ,21.09 ,6.32 ,5.00 ,,,
278,银宝山新,机械,深市中小板,中小板,自愿,BBB-,稳定,未披露,49.72 ,18.05 ,20.39 ,8.78 ,2.50 ,,,
279,海峡环保,电力,沪市主板,主板,自愿,BBB-,稳定,未披露,49.50 ,16.17 ,20.92 ,9.08 ,3.33 ,,,
280,中国电建,建筑业,沪市主板,主板,应规,BBB-,消极,118.36 ,49.45 ,15.00 ,23.91 ,8.29 ,2.25 ,,,
281,永辉超市,批发,沪市主板,主板,自愿,BBB-,稳定,"7,695.00 ",49.45 ,15.00 ,20.74 ,8.88 ,4.82 ,,,
282,包钢股份,金属,沪市主板,主板,自愿,BBB-,稳定,未披露,49.43 ,18.05 ,21.09 ,7.70 ,2.60 ,,,
283,顺灏股份,造纸,深市中小板,中小板,自愿,BBB-,稳定,"3,323.00 ",49.41 ,15.70 ,24.61 ,7.60 ,1.50 ,,,
284,荣盛石化,石油,深市中小板,中小板,应规,BBB-,稳定,101.38 ,49.33 ,16.17 ,23.20 ,9.28 ,0.68 ,,,
285,鲁泰A,纺织,深市主板,主板,自愿,BBB-,积极,披露,49.32 ,15.94 ,22.85 ,8.39 ,2.14 ,,,
286,信达地产,房地产业,沪市主板,主板,应规,BBB-,稳定,812.00 ,49.13 ,19.69 ,17.93 ,10.07 ,1.44 ,,,
287,华闻传媒,传播与文化业,深市主板,主板,自愿,BBB-,积极,"2,509.00 ",49.03 ,14.53 ,21.80 ,7.70 ,5.00 ,,,
288,辽宁成大,批发,沪市主板,主板,应规,BB+,消极,"4,703.00 ",48.97 ,19.45 ,18.63 ,9.28 ,1.61 ,,,
289,郑煤机,机械,沪市主板,主板,自愿,BB+,消极,85.47 ,48.94 ,12.66 ,23.91 ,9.67 ,2.71 ,,,
290,国投中鲁,食品,沪市主板,主板,自愿,BB+,稳定,939.00 ,48.94 ,18.28 ,20.74 ,8.49 ,1.43 ,,,
291,金正大,石油,深市中小板,中小板,自愿,BB+,稳定,10.19 ,48.90 ,19.45 ,19.16 ,9.38 ,0.91 ,,,
292,江南水务,电力,沪市主板,主板,应规,BB+,稳定,未披露,48.85 ,14.77 ,21.27 ,9.28 ,3.54 ,,,
293,国信证券,金融,深市中小板,中小板,应规,BB+,消极,194.82 ,48.75 ,13.83 ,22.50 ,7.11 ,5.31 ,,,
294,置信电气,机械,沪市主板,主板,应规,BB+,稳定,"3,423.00 ",48.73 ,16.17 ,22.15 ,9.57 ,0.83 ,,,
295,联化科技,石油,深市中小板,中小板,自愿,BB+,稳定,19.37 ,48.68 ,17.11 ,21.09 ,9.57 ,0.91 ,,,
296,四方股份,机械,沪市主板,主板,自愿,BB+,消极,47.01 ,48.61 ,18.75 ,18.63 ,9.77 ,1.46 ,,,
297,上峰水泥,金属,深市主板,主板,自愿,BB+,稳定,217.00 ,48.54 ,17.11 ,19.86 ,8.59 ,2.98 ,,,
298,拉夏贝尔,纺织,沪市主板,主板,自愿,BB+,稳定,"1,472.36 ",48.49 ,15.94 ,21.97 ,9.87 ,0.71 ,,,
299,国海证券,金融,深市主板,主板,自愿,BB+,消极,-160.00 ,48.47 ,16.88 ,18.63 ,8.59 ,4.38 ,,,
300,杰赛科技,信息技术业,深市中小板,中小板,自愿,BB+,稳定,未披露,48.46 ,15.94 ,22.85 ,5.92 ,3.75 ,,,
301,四川成渝,交通运输,沪市主板,主板,自愿,BB+,消极,未披露,48.44 ,12.42 ,23.20 ,9.38 ,3.44 ,,,
302,海鸥住工,金属,深市中小板,中小板,自愿,BB+,消极,未披露,48.33 ,16.17 ,22.32 ,8.68 ,1.15 ,,,
303,日照港,交通运输,沪市主板,主板,应规,BB+,稳定,41.95 ,48.31 ,14.06 ,21.80 ,8.39 ,4.06 ,,,
304,科大讯飞,信息技术业,深市中小板,中小板,应规,BB+,稳定,644.37 ,48.04 ,16.41 ,20.74 ,6.51 ,4.38 ,,,
305,海南橡胶,农,沪市主板,主板,自愿,BB+,稳定,未披露,48.03 ,17.11 ,19.86 ,9.18 ,1.88 ,,,
306,重庆燃气,电力,沪市主板,主板,应规,BB,消极,未披露,48.00 ,14.53 ,18.81 ,9.87 ,4.79 ,,,
307,深高速,交通运输,沪市主板,主板,应规,BB,稳定,348.00 ,47.99 ,10.78 ,23.38 ,9.77 ,4.06 ,,,
308,青青稞酒,食品,深市中小板,中小板,自愿,BB,稳定,未披露,47.70 ,17.11 ,20.92 ,8.78 ,0.89 ,,,
309,硅宝科技,石油,深市创业板,创业板,自愿,BB,稳定,107.57 ,47.70 ,15.70 ,21.80 ,9.18 ,1.02 ,,,
310,伟星新材,石油,深市中小板,中小板,自愿,BB,稳定,65.13 ,47.68 ,17.11 ,21.09 ,9.47 ,0.00 ,,,
311,国药一致,批发,深市主板,主板,自愿,BB,稳定,978.33 ,47.65 ,17.11 ,19.51 ,8.88 ,2.14 ,,,
312,益民集团,批发,沪市主板,主板,自愿,BB,稳定,未披露,47.55 ,18.05 ,17.93 ,9.97 ,1.61 ,,,
313,福耀玻璃,金属,沪市主板,主板,应规,BB,稳定,109.50 ,47.30 ,15.94 ,21.62 ,8.68 ,1.06 ,,,
314,德美化工,石油,深市中小板,中小板,自愿,BB,稳定,"4,120.00 ",47.29 ,16.41 ,20.74 ,8.78 ,1.36 ,,,
315,广日股份,机械,沪市主板,主板,应规,BB,稳定,未披露,47.29 ,14.06 ,22.68 ,8.88 ,1.67 ,,,
316,天虹股份,批发,深市中小板,中小板,自愿,BB,消极,未披露,47.25 ,15.94 ,21.97 ,8.09 ,1.25 ,,,
317,铁龙物流,交通运输,沪市主板,主板,应规,BB,消极,未披露,47.20 ,17.58 ,19.16 ,8.59 ,1.88 ,,,
318,特变电工,机械,沪市主板,主板,应规,BB,稳定,508.80 ,47.17 ,15.23 ,21.97 ,8.09 ,1.88 ,,,
319,大悦城,房地产业,深市主板,主板,自愿,BB,稳定,"2,534.18 ",47.12 ,16.41 ,19.51 ,9.57 ,1.63 ,,,
320,海航基础,房地产业,沪市主板,主板,自愿,BB,消极,"1,389.00 ",47.12 ,15.70 ,20.39 ,9.97 ,1.06 ,,,
321,惠而浦,机械,沪市主板,主板,自愿,BB,稳定,"2,064.00 ",47.12 ,16.64 ,19.51 ,8.88 ,2.08 ,,,
322,韵达股份,交通运输,深市中小板,中小板,自愿,BB,稳定,261.84 ,46.97 ,17.11 ,18.46 ,9.38 ,2.03 ,,,
323,长江证券,金融,深市主板,主板,应规,BB,消极,"2,698.00 ",46.94 ,15.47 ,19.34 ,8.39 ,3.75 ,,,
324,一拖股份,机械,沪市主板,主板,应规,BB,稳定,未披露,46.93 ,15.47 ,20.21 ,9.38 ,1.88 ,,,
325,云煤能源,石油,沪市主板,主板,自愿,BB,稳定,未披露,46.85 ,16.88 ,19.34 ,9.28 ,1.36 ,,,
326,棕榈股份,建筑业,深市中小板,中小板,自愿,BB,稳定,191.64 ,46.84 ,17.11 ,18.28 ,9.57 ,1.88 ,,,
327,华帝股份,机械,深市中小板,中小板,自愿,BB,消极,未披露,46.82 ,18.05 ,17.75 ,9.77 ,1.25 ,,,
328,大族激光,机械,深市中小板,中小板,应规,BB,稳定,676.94 ,46.63 ,13.13 ,22.15 ,9.28 ,2.08 ,,,
329,大洋电机,机械,深市中小板,中小板,自愿,BB,消极,"1,718.63 ",46.53 ,16.88 ,18.81 ,9.18 ,1.67 ,,,
330,格力电器,机械,深市主板,主板,应规,BB,稳定,未披露,46.50 ,14.77 ,21.09 ,9.18 ,1.46 ,,,
331,伟明环保,社会服务业,沪市主板,主板,应规,BB,稳定,"26,379.00 ",46.38 ,16.88 ,17.93 ,9.08 ,2.50 ,,,
332,航天晨光,机械,沪市主板,主板,自愿,BB,稳定,740.00 ,46.34 ,15.94 ,20.74 ,7.99 ,1.67 ,,,
333,国中水务,电力,沪市主板,主板,自愿,BB,稳定,未披露,46.29 ,17.11 ,18.46 ,9.47 ,1.25 ,,,
334,东旭光电,电子业,深市主板,主板,应规,BB,消极,10.40 ,46.26 ,18.28 ,17.05 ,9.47 ,1.46 ,,,
335,中金黄金,金属,沪市主板,主板,应规,BB,稳定,"2,163.61 ",46.26 ,14.77 ,19.16 ,8.68 ,3.65 ,,,
336,飞利信,信息技术业,深市创业板,创业板,自愿,BB,消极,未披露,46.20 ,16.41 ,16.17 ,7.99 ,5.63 ,,,
337,天齐锂业,金属,深市中小板,中小板,应规,BB,稳定,未披露,46.17 ,14.06 ,20.75 ,8.29 ,3.08 ,,,
338,崇达技术,电子业,深市中小板,中小板,自愿,BB,稳定,"2,200.00 ",46.14 ,15.23 ,19.86 ,9.38 ,1.67 ,,,
339,海大集团,食品,深市中小板,中小板,自愿,BB,稳定,未披露,46.06 ,14.30 ,21.09 ,8.88 ,1.79 ,,,
340,皖通高速,交通运输,沪市主板,主板,应规,BB,稳定,"1,437.00 ",45.94 ,9.38 ,24.08 ,9.67 ,2.81 ,,,
341,市北高新,房地产业,沪市主板,主板,自愿,BB,稳定,未披露,45.94 ,15.94 ,19.86 ,9.18 ,0.96 ,,,
342,青农商行,金融,深市中小板,中小板,自愿,BB,稳定,238.00 ,45.92 ,15.00 ,19.69 ,7.80 ,3.44 ,,,
343,亚厦股份,建筑业,深市中小板,中小板,自愿,BB,稳定,"2,419.00 ",45.91 ,15.00 ,19.34 ,9.57 ,2.00 ,,,
344,百联股份,批发,沪市主板,主板,自愿,BB,稳定,369.00 ,45.86 ,16.17 ,18.98 ,9.28 ,1.43 ,,,
345,佐力药业,医药,深市创业板,创业板,自愿,BB,消极,872.00 ,45.84 ,16.41 ,18.63 ,9.38 ,1.43 ,,,
346,新时达,机械,深市中小板,中小板,自愿,BB,稳定,未披露,45.83 ,14.06 ,21.62 ,8.68 ,1.46 ,,,
347,金陵饭店,社会服务业,沪市主板,主板,应规,BB,稳定,-260.69 ,45.81 ,15.70 ,19.51 ,8.09 ,2.50 ,,,
348,宁德时代,机械,深市创业板,创业板,应规,BB,稳定,77.42 ,45.79 ,15.23 ,21.09 ,7.80 ,1.67 ,,,
349,栖霞建设,房地产业,沪市主板,主板,应规,BB,消极,"3,735.90 ",45.75 ,14.77 ,19.69 ,9.18 ,2.12 ,,,
350,安泰科技,金属,深市主板,主板,自愿,BB,稳定,219.00 ,45.72 ,18.05 ,18.81 ,8.09 ,0.77 ,,,
351,沃森生物,医药,深市创业板,创业板,应规,BB,稳定,未披露,45.68 ,15.94 ,18.81 ,8.88 ,2.05 ,,,
352,飞凯材料,石油,深市创业板,创业板,自愿,BB,稳定,"1,046.20 ",45.67 ,16.64 ,19.86 ,8.49 ,0.68 ,,,
353,东吴证券,金融,沪市主板,主板,应规,BB,稳定,284.40 ,45.65 ,13.36 ,21.09 ,6.51 ,4.69 ,,,
354,碧水源,社会服务业,深市创业板,创业板,应规,BB,稳定,347.00 ,45.63 ,17.34 ,18.63 ,8.09 ,1.56 ,,,
355,光明地产,房地产业,沪市主板,主板,应规,BB,稳定,"1,244.52 ",45.56 ,18.75 ,17.05 ,9.18 ,0.58 ,,,
356,金枫酒业,食品,沪市主板,主板,自愿,BB,稳定,"1,418.00 ",45.43 ,15.23 ,20.21 ,8.19 ,1.79 ,,,
357,悦心健康,金属,深市中小板,中小板,自愿,BB,稳定,未披露,45.39 ,14.53 ,20.04 ,9.57 ,1.25 ,,,
358,荣晟环保,造纸,沪市主板,主板,自愿,BB,稳定,未披露,45.37 ,15.94 ,18.11 ,9.08 ,2.25 ,,,
359,燕京啤酒,食品,深市主板,主板,自愿,BB,稳定,未披露,45.36 ,16.17 ,19.69 ,8.78 ,0.71 ,,,
360,国投电力,电力,沪市主板,主板,应规,BB,稳定,未披露,45.33 ,14.06 ,20.04 ,7.89 ,3.33 ,,,
361,三一重工,机械,沪市主板,主板,应规,BB,稳定,"4,364.00 ",45.32 ,14.77 ,20.21 ,8.88 ,1.46 ,,,
362,*ST厦工,机械,沪市主板,主板,自愿,BB,稳定,"6,116.29 ",45.30 ,15.47 ,18.46 ,9.08 ,2.29 ,,,
363,歌尔股份,电子业,深市中小板,中小板,应规,BB,稳定,未披露,45.28 ,15.00 ,19.51 ,8.68 ,2.08 ,,,
364,高能环境,社会服务业,沪市主板,主板,应规,BB,稳定,未披露,45.22 ,15.70 ,20.57 ,7.70 ,1.25 ,,,
365,浪潮信息,信息技术业,深市主板,主板,应规,BB,稳定,324.62 ,45.06 ,15.00 ,20.39 ,5.92 ,3.75 ,,,
366,安琪酵母,食品,沪市主板,主板,自愿,BB,稳定,659.00 ,45.04 ,12.89 ,21.97 ,8.39 ,1.79 ,,,
367,锦州港,交通运输,沪市主板,主板,应规,BB,稳定,未披露,45.03 ,18.05 ,15.47 ,10.26 ,1.25 ,,,
368,中铁工业,机械,沪市主板,主板,应规,BB,稳定,242.00 ,45.03 ,16.41 ,18.11 ,9.47 ,1.04 ,,,
369,塔牌集团,金属,深市中小板,中小板,自愿,BB,稳定,未披露,45.02 ,16.88 ,17.93 ,8.59 ,1.63 ,,,
370,大康农业,批发,深市中小板,中小板,自愿,BB,稳定,"1,723.11 ",45.01 ,19.22 ,14.59 ,9.77 ,1.43 ,,,
371,丽江旅游,社会服务业,深市中小板,中小板,自愿,BB,稳定,-685.20 ,44.94 ,15.23 ,18.11 ,8.78 ,2.81 ,,,
372,山东钢铁,金属,沪市主板,主板,应规,BB,稳定,191.63 ,44.90 ,14.06 ,18.98 ,8.59 ,3.27 ,,,
373,杉杉股份,机械,沪市主板,主板,自愿,BB,消极,"2,107.00 ",44.85 ,17.58 ,18.46 ,8.19 ,0.63 ,,,
374,新疆众和,电子业,沪市主板,主板,应规,BB,稳定,"1,115.28 ",44.85 ,14.53 ,21.09 ,8.39 ,0.83 ,,,
375,大名城,房地产业,沪市主板,主板,应规,BB,稳定,184.61 ,44.83 ,16.17 ,18.81 ,9.08 ,0.77 ,,,
376,鹏欣资源,金属,沪市主板,主板,自愿,BB,稳定,763.00 ,44.81 ,17.11 ,17.75 ,9.18 ,0.77 ,,,
377,中天金融,房地产业,深市主板,主板,应规,BB,稳定,198.42 ,44.76 ,15.70 ,17.05 ,10.66 ,1.35 ,,,
378,江苏吴中,综合类,沪市主板,主板,自愿,BB,稳定,"1,450.00 ",44.75 ,15.00 ,17.77 ,11.97 ,-,,,
379,中信重工,机械,沪市主板,主板,应规,BB,稳定,未披露,44.64 ,14.30 ,19.86 ,8.19 ,2.29 ,,,
380,供销大集,批发,深市主板,主板,自愿,BB,消极,106.16 ,44.63 ,14.77 ,18.98 ,9.28 ,1.61 ,,,
381,安徽水利,建筑业,沪市主板,主板,应规,BB,稳定,759.00 ,44.57 ,15.47 ,19.51 ,8.59 ,1.00 ,,,
382,金禾实业,石油,深市中小板,中小板,自愿,BB,稳定,800.00 ,44.55 ,14.77 ,17.75 ,9.08 ,2.95 ,,,
383,华媒控股,传播与文化业,深市主板,主板,自愿,BB,稳定,911.00 ,44.36 ,12.19 ,21.45 ,5.72 ,5.00 ,,,
384,长城汽车,机械,沪市主板,主板,应规,BB,稳定,105.18 ,44.33 ,13.13 ,20.39 ,7.89 ,2.92 ,,,
385,冠城大通,房地产业,沪市主板,主板,应规,BB,稳定,未披露,44.23 ,14.30 ,19.51 ,8.98 ,1.44 ,,,
386,西昌电力,电力,沪市主板,主板,自愿,BB,稳定,758.94 ,44.19 ,12.89 ,20.21 ,8.59 ,2.50 ,,,
387,天坛生物,医药,沪市主板,主板,应规,BB,稳定,70.68 ,44.18 ,15.94 ,18.81 ,8.09 ,1.34 ,,,
388,深科技,信息技术业,深市主板,主板,自愿,BB,稳定,未披露,43.97 ,14.53 ,20.39 ,5.92 ,3.13 ,,,
389,农产品,社会服务业,深市主板,主板,自愿,BB,稳定,530.07 ,43.92 ,15.00 ,17.40 ,8.39 ,3.13 ,,,
390,四维图新,信息技术业,深市中小板,中小板,应规,BB,稳定,未披露,43.88 ,11.72 ,21.80 ,6.61 ,3.75 ,,,
391,大众公用,电力,沪市主板,主板,应规,BB,消极,未披露,43.86 ,16.17 ,16.52 ,9.08 ,2.08 ,,,
392,卧龙电气,机械,沪市主板,主板,应规,BB,稳定,未披露,43.84 ,13.59 ,20.04 ,9.38 ,0.83 ,,,
393,宝新能源,电力,深市主板,主板,自愿,BB,稳定,637.00 ,43.83 ,15.47 ,16.52 ,8.09 ,3.75 ,,,
394,三角轮胎,石油,沪市主板,主板,应规,BB,稳定,未披露,43.74 ,12.19 ,22.50 ,8.49 ,0.57 ,,,
